N,trial,Majority,EBT,ProvOnly,DS-Trust,TrustPass,TP-NoDRM,TP-NoHealth,TP-NoUncertainty,TP-NoCRV,TP-NoProvenance,mean_evidence_received,mean_integrity_failure_rate,trials,Majority_std,Majority_ci95,EBT_std,EBT_ci95,ProvOnly_std,ProvOnly_ci95,DS-Trust_std,DS-Trust_ci95,TrustPass_std,TrustPass_ci95,TP-NoDRM_std,TP-NoDRM_ci95,TP-NoHealth_std,TP-NoHealth_ci95,TP-NoUncertainty_std,TP-NoUncertainty_ci95,TP-NoCRV_std,TP-NoCRV_ci95,TP-NoProvenance_std,TP-NoProvenance_ci95
6,39.5,0.5616666666666666,0.6530555555555556,0.32916666666666666,0.8754166666666666,0.9604166666666666,0.9044444444444444,0.655,0.9595833333333333,0.9793055555555557,0.7870833333333334,1.0,0.12064814814814813,80,0.1190405463038647,0.026085909854186972,0.04896091740394997,0.010729034076486496,0.05521343320923861,0.012099177012846185,0.029140618600944187,0.00638571960161439,0.017307759091502718,0.0037927299349454274,0.031998593499329035,0.0070120009643904945,0.04733563777463868,0.010372878974595098,0.017523118924085087,0.003839922739022588,0.01308055630598138,0.0028664032822014146,0.04306740683497552,0.009437561631169144
12,39.5,0.7066666666666667,0.8,0.40499999999999997,0.9666666666666666,0.9983333333333334,0.9948611111111111,0.8808333333333334,0.9980555555555556,0.9994444444444444,0.8951388888888889,1.0,0.12186342592592592,80,0.0855673362119587,0.01875076928150486,0.03477878655695338,0.007621237629797753,0.05480220582034481,0.012009062838060112,0.015812623710329324,0.0034650939488542884,0.0039924917812732795,0.0008748933362085549,0.007694704027670516,0.0016861763647160442,0.025434188660248734,0.005573512330093306,0.004248493293496533,0.0009309921410086008,0.0024368889755907726,0.0005340068414979978,0.02988981954955752,0.00654989549810525
25,39.5,0.8175000000000001,0.889861111111111,0.4301388888888889,0.9887499999999999,1.0,1.0,0.9555555555555555,1.0,1.0,0.9619444444444445,1.0,0.12057222222222222,80,0.039403863755028086,0.008634752357373526,0.03188086070944343,0.006986201629296733,0.06447871803097963,0.014129522068692559,0.008926388901198514,0.0019560812129145936,0.0,0.0,0.0,0.0,0.017140475652975655,0.0037560723352198983,0.0,0.0,0.0,0.0,0.02006202291007208,0.004396284605321773
